ciudad,semana_inicio,ventas_eur,unidades,margen_eur,inv_display,inv_email_crm,inv_exterior,inv_paid_search,inv_prensa,inv_radio_local,inv_social_paid,inv_video_online,inv_total,sesiones_web,visitas_tienda,pedidos_online,pedidos_tienda,pedidos_click_collect,tasa_conversion_web_media,tasa_conversion_tienda_media,dias_rebajas,dias_black_friday,dias_navidad,dias_semana_santa,dias_payday,dias_festivo,dias_vacaciones_escolares,dias_incidencia_ecommerce,temperatura_media,lluvia_media,turismo_indice_medio,anio,semana_iso,inv_paid_search_lagged,inv_social_paid_lagged,inv_display_lagged,inv_video_online_lagged,inv_email_crm_lagged,inv_exterior_lagged,inv_radio_local_lagged,inv_prensa_lagged,inv_paid_search_adstock,inv_social_paid_adstock,inv_display_adstock,inv_video_online_adstock,inv_email_crm_adstock,inv_exterior_adstock,inv_radio_local_adstock,inv_prensa_adstock,inv_paid_search_transformed,inv_social_paid_transformed,inv_display_transformed,inv_video_online_transformed,inv_email_crm_transformed,inv_exterior_transformed,inv_radio_local_transformed,inv_prensa_transformed,trend,trend_idx_raw,log_trend,sin_1,cos_1,sin_2,cos_2,sin_3,cos_3,flag_rebajas,flag_black_friday,flag_navidad,flag_semana_santa,flag_payday,flag_festivo,flag_vacaciones_escolares,flag_incidencia_ecommerce,temperatura_media_z,lluvia_media_z,turismo_indice_medio_z,ciudad_a_coruna,ciudad_bilbao,ciudad_madrid,ciudad_malaga,ciudad_murcia,ciudad_palma,ciudad_sevilla,ciudad_valencia,ciudad_zaragoza,log_ventas_eur,split
A Coruna,2020-03-16,0.0,0.0,0.0,468.4,559.66,920.96,2206.7,1452.14,638.75,1120.38,1098.25,8465.24,688,143,17.0,29.0,7.0,0.0338285714285714,0.2003857142857143,0,0,0,0,0,0,0,7,15.971428571428572,68.81428571428572,22.042857142857144,2020,12,2206.7,1641.06,871.74,1811.22,559.66,2060.62,645.54,381.1,4064.3075,3541.70351797248,2583.5969484795833,3699.699190977417,805.987668417471,5674.276161499023,2252.6762600302177,1490.683277056,0.19594791347621904,0.16328400009498034,0.27339879347444396,0.1769435263510977,0.25457208035719453,0.2614142873363194,0.1276016732369054,0.10097004610830723,0.038461538461538464,11,0.430925775677421,0.992708874098054,0.120536680255323,0.23931566428755768,-0.970941817426052,-0.9350162426854147,-0.3546048870425359,0,0,0,0,0,0,0,1,-0.18710428524511535,1.8152892934102631,-0.7649979650346206,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-03-23,0.0,0.0,0.0,1004.0,681.99,1794.64,1324.33,800.14,996.5,1489.63,1290.41,9381.64,763,107,17.0,21.0,11.0,0.0371,0.1990142857142857,0,0,0,0,5,0,0,7,15.642857142857142,62.285714285714285,19.52857142857143,2020,13,1324.33,1120.38,468.4,1098.25,681.99,1271.44,638.75,1129.96,3356.48375,3245.402110783488,2147.7380165117293,3503.054474135321,964.0856839461148,5527.147121124268,2102.9895690196417,2024.3699662335998,0.14252017621691693,0.14079158607935746,0.206364371252588,0.16159248446411356,0.32824113034268004,0.25139743423248695,0.11306080316398318,0.17158370381959862,0.04230769230769231,12,0.44656259082417227,1.0,-1.6081226496766366e-16,-3.216245299353273e-16,-1.0,-1.0,-1.8369701987210297e-16,0,0,0,0,1,0,0,1,-0.2375352084093907,1.3267634688990826,-0.8761510635343273,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-03-30,0.0,0.0,0.0,836.65,168.65,1047.18,1487.87,456.44,1799.7,1748.7,1190.98,8736.17,622,132,15.0,27.0,7.0,0.0358857142857142,0.2026,0,0,0,1,6,0,1,7,17.04285714285714,68.31428571428572,21.61428571428572,2020,14,1487.87,1489.63,1004.0,1290.41,168.65,920.96,996.5,1452.14,3166.1118749999996,3436.8712664700925,2400.029710732624,3567.395408187959,506.0799893811402,5066.320340843201,2363.4432198627674,2666.76197974016,0.12883562362757559,0.15523921175216165,0.24511291058954954,0.16658504198166738,0.11866621057108985,0.22006508183893447,0.13867588159484256,0.2643983936563547,0.046153846153846156,13,0.4609470663610403,0.992708874098054,-0.12053668025532288,-0.23931566428755743,-0.9709418174260521,-0.9350162426854148,0.35460488704253557,0,0,0,1,1,0,1,1,-0.02265562275291378,1.7778748429553586,-0.7839445159152522,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-04-06,0.0,0.0,0.0,769.71,503.57,1704.7,1405.49,686.11,884.32,1135.3,709.02,7798.219999999999,1074,166,27.0,32.0,10.0,0.0348714285714285,0.1946571428571428,0,0,0,7,0,0,7,7,17.87142857142857,69.52857142857142,22.342857142857145,2020,15,1405.49,1748.7,836.65,1190.98,503.57,1794.64,1799.7,800.14,2988.5459375,3810.822759882056,2396.669311976206,3509.7870153221734,680.6979962833991,5594.380255632401,3335.938092910799,2400.197187844096,0.11642509171590273,0.1842943852202586,0.2445947716625394,0.1621134220003329,0.19587566065952597,0.2559756235789079,0.24286006185604359,0.22550657713423466,0.05,14,0.47426501053754083,0.9709418174260521,-0.2393156642875575,-0.46472317204376806,-0.8854560256532101,-0.7485107481711011,0.6631226582407952,0,0,0,1,0,0,1,1,0.10451800957438911,1.8687385083458403,-0.7517353794181783,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-04-13,0.0,0.0,0.0,551.16,325.26,845.69,1895.62,750.25,1150.38,1235.72,968.36,7722.44,850,149,17.0,30.0,7.0,0.0317428571428571,0.1997428571428571,0,0,0,0,0,0,0,7,18.885714285714283,56.67142857142857,22.342857142857145,2020,16,1895.62,1135.3,769.71,709.02,325.26,1047.18,884.32,456.44,3389.89296875,3421.793655929233,2327.545052784534,2990.3815599594127,563.5042986991897,5242.965191724301,3052.6797603920195,1896.5583127064576,0.14495816400633965,0.15408954652067766,0.2339422472675523,0.12315405689230324,0.14305293844044098,0.2320552526358149,0.2117296450701423,0.15382898645407508,0.05384615384615385,15,0.4866637199386529,0.9350162426854148,-0.35460488704253545,-0.663122658240795,-0.7485107481711013,-0.4647231720437684,0.88545602565321,0,0,0,0,0,0,0,1,0.2601960767336733,0.9066526395054417,-0.7517353794181783,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-04-20,0.0,0.0,0.0,553.6,224.37,1604.94,1899.02,856.57,535.87,1278.07,1832.31,8784.75,724,130,17.0,27.0,7.0,0.0338142857142857,0.208,0,0,0,0,2,0,0,7,19.428571428571427,53.91428571428571,23.214285714285715,2020,17,1899.02,1235.72,551.16,968.36,224.37,1704.7,1150.38,686.11,3593.9664843749997,3288.7961935575395,2064.064284309947,2912.108013973618,421.59650454471637,5636.923893793226,3134.621844254813,1824.0449876238745,0.16005902167626526,0.14403586410596628,0.19365125131620106,0.11753916774246,0.0854567863067957,0.25887198457008387,0.22070658812999666,0.14395175556440326,0.057692307692307696,16,0.4982619380083792,0.8854560256532099,-0.4647231720437685,-0.8229838658936564,-0.5680647467311559,-0.12053668025532363,0.992708874098054,0,0,0,0,1,0,0,1,0.34351673239638914,0.7003386698541115,-0.7132107259608936,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-04-27,0.0,0.0,0.0,603.14,365.39,808.94,1700.13,773.98,1412.47,1321.82,1008.22,7994.09,889,135,23.0,28.0,10.0,0.0373571428571428,0.2064428571428571,0,0,0,0,7,0,0,7,20.342857142857145,56.385714285714286,16.514285714285712,2020,18,1700.13,1278.07,553.6,1832.31,365.39,845.69,535.87,750.25,3497.1132421875,3251.3477161345236,1895.2417848014657,3725.180209082852,512.9487765906507,5073.38292034492,2573.3741987656285,1844.6769925743247,0.15284928629260863,0.14123499684457771,0.16838471357818138,0.17895158686066184,0.1215151912579038,0.22054365268420384,0.16028155848038086,0.146746102917587,0.06153846153846154,17,0.5091567892046576,0.8229838658936565,-0.5680647467311557,-0.9350162426854147,-0.3546048870425359,0.23931566428755732,0.9709418174260521,0,0,0,0,1,0,0,1,0.4838462577230687,0.8852729535312107,-1.009408471394771,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-05-04,0.0,0.0,0.0,840.1,493.8,852.09,1475.07,606.28,1339.98,1957.3,631.67,8196.289999999999,901,137,20.0,29.0,8.0,0.0310857142857142,0.2125285714285714,0,0,0,0,2,0,0,7,20.085714285714285,40.91428571428571,22.957142857142856,2020,19,1475.07,1321.82,603.14,1008.22,493.8,1604.94,1412.47,856.57,3223.62662109375,3272.628629680714,1835.0471601209529,3429.587135903854,673.3320718067278,5409.977190258691,3085.1632291976584,1963.3761955445948,0.13293105238424466,0.14282496215688487,0.15953779996120382,0.15593141914421715,0.1924709102871728,0.24341870525183978,0.21528439976193037,0.16306049113905657,0.06538461538461539,18,0.51942872814206,0.7485107481711013,-0.663122658240795,-0.992708874098054,-0.12053668025532357,0.5680647467311555,0.8229838658936566,0,0,0,0,1,0,0,1,0.44437857872493985,-0.2724370419734028,-0.7245786564892728,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-05-11,0.0,0.0,0.0,590.93,96.28,1182.89,2563.35,461.22,1016.29,1657.16,1156.87,8724.99,906,109,21.0,22.0,8.0,0.0314571428571428,0.2077857142857143,0,0,0,0,0,0,0,7,19.47142857142857,51.971428571428575,28.67142857142857,2020,20,2563.35,1957.3,840.1,631.67,96.28,808.94,1339.98,773.98,4175.163310546875,3920.8771778084283,2032.8806540786195,2860.901638337505,331.9462251323547,4866.422892694018,3345.336098978478,1952.005717326757,0.20456636530092662,0.1930085547844272,0.18894133776668132,0.11390861720322931,0.05475552392431241,0.20655812789046274,0.24389614975628254,0.16148139975029954,0.06923076923076923,19,0.529145148841879,0.6631226582407952,-0.7485107481711012,-0.992708874098054,0.1205366802553232,0.8229838658936558,0.5680647467311567,0,0,0,0,0,0,0,1,0.3500946788960775,0.5549568052293407,-0.47195797808084855,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-05-18,0.0,0.0,0.0,671.13,198.47,1437.38,1636.02,434.02,553.12,803.4,1416.37,7149.91,947,114,18.0,24.0,11.0,0.0307999999999999,0.2079142857142857,0,0,0,0,0,0,0,7,20.185714285714287,45.32857142857143,20.2,2020,21,1636.02,1657.16,590.93,1156.87,198.47,852.09,1016.29,606.28,3723.6016552734377,4009.6863066850574,1912.3024251511029,3016.456064919378,314.65117879632413,4501.907169520513,3190.7584643360105,1777.483430396054,0.16981779326560753,0.20008177743492822,0.17090944779351752,0.12504137450089037,0.04947335296488381,0.18219975459938045,0.22687294647372563,0.13769540729157512,0.07307692307692308,20,0.5383630671228599,0.5680647467311558,-0.8229838658936564,-0.9350162426854148,0.35460488704253557,0.970941817426052,0.23931566428755785,0,0,0,0,0,0,0,1,0.45972712055754555,0.05787910632846776,-0.8464681338213375,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-05-25,0.0,0.0,0.0,833.95,776.22,996.2,1605.41,681.36,771.99,838.26,685.77,7189.16,506,145,8.0,30.0,8.0,0.0326857142857142,0.2139428571428571,0,0,0,0,6,0,0,7,20.842857142857145,44.385714285714286,16.62857142857143,2020,22,1605.41,803.4,671.13,1416.37,776.22,1182.89,553.12,461.22,3467.210827636719,3209.2117840110345,1914.126576348217,3377.0664421975957,886.3479125787135,4559.320377140385,2627.1130018184067,1527.7100582376324,0.150638627275974,0.1381003042863633,0.17117982353673067,0.15191207744593577,0.2922891187165155,0.18600668033814105,0.16592333222396316,0.10551247228438998,0.07692307692307693,21,0.5471311478554287,0.46472317204376906,-0.8854560256532096,-0.822983865893657,0.5680647467311548,0.992708874098054,-0.12053668025532309,0,0,0,0,1,0,0,1,0.5605889668860963,-0.012673857386494836,-1.0043560578266024,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-06-01,0.0,0.0,0.0,1172.94,238.13,1076.29,1454.08,774.99,801.36,1448.49,1135.24,8101.519999999999,817,95,23.0,22.0,4.0,0.0330285714285714,0.2290571428571428,0,0,0,0,5,0,0,7,20.2,39.142857142857146,68.6,2020,23,1454.08,838.26,833.95,685.77,238.13,1437.38,771.99,434.02,3187.6854138183594,2763.787070406621,2078.1322746263413,2880.8631874284374,548.3517694025497,4856.870282855289,2479.6134511819646,1350.6460349425793,0.1303676769103155,0.10621445823318522,0.19578140405471756,0.1153197785964572,0.1364990531276096,0.20591481076528828,0.15054087443701974,0.08441673945551476,0.08076923076923077,22,0.5554912601795159,0.35460488704253584,-0.9350162426854147,-0.6631226582407955,0.7485107481711007,0.8854560256532102,-0.4647231720437679,0,0,0,0,1,0,0,1,0.46191976939077467,-0.40499109501363506,1.2932290122980152,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-06-08,0.0,0.0,0.0,764.68,239.54,1271.89,1072.7,471.45,966.14,1089.16,1120.58,6996.14,522,125,11.0,29.0,4.0,0.0286428571428571,0.2317285714285714,0,0,0,0,0,0,0,7,23.24285714285714,39.285714285714285,70.84285714285714,2020,24,1072.7,1448.49,1172.94,1135.24,239.54,996.2,801.36,681.36,2666.5427069091797,3106.7622422439727,2523.725978507122,3007.801071828484,431.4631192908924,4638.852712141466,2413.108743268277,1491.7476209655474,0.09494169639201587,0.13055651424666317,0.2641831340030619,0.12441399724937284,0.08914274474144569,0.19130039904756696,0.1437189683146706,0.1010997000397968,0.08461538461538462,23,0.5634796867314855,0.23931566428755768,-0.970941817426052,-0.4647231720437684,0.88545602565321,0.6631226582407956,-0.7485107481711006,0,0,0,0,0,0,0,1,0.9289539708686277,-0.3943012520265198,1.392382628573322,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-06-15,0.0,0.0,0.0,765.78,249.07,565.04,1307.69,1263.52,378.69,1240.13,1470.28,7240.2,1010,100,25.0,22.0,6.0,0.0318428571428571,0.2212714285714285,0,0,0,0,0,2,0,7,22.0,43.34285714285714,68.97142857142858,2020,25,1307.69,1089.16,764.68,1120.58,249.07,1076.29,966.14,774.99,2640.9613534545897,2953.217345346384,2405.1018860296294,3075.6506966885145,400.0820917518123,4555.4295341061,2534.6606831243803,1670.0385725793285,0.09329793658295196,0.11947418235259347,0.2458950142234676,0.12935606984564016,0.07761716221599832,0.18574829047751337,0.15624313874220241,0.12354626840313092,0.08846153846153847,24,0.5711280753262671,0.12053668025532308,-0.992708874098054,-0.2393156642875578,0.970941817426052,0.35460488704253607,-0.9350162426854146,0,0,0,0,0,1,0,1,0.7381935223776739,-0.09070971119243841,1.3096493563945633,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-06-22,0.0,0.0,0.0,486.08,631.88,1155.96,1880.18,804.45,963.19,680.69,748.08,7350.51,826,125,19.0,28.0,6.0,0.0304428571428571,0.2219714285714285,0,0,0,0,4,4,0,0,21.514285714285712,30.585714285714285,60.54285714285714,2020,26,1880.18,1240.13,765.78,1470.28,631.88,1271.89,378.69,471.45,3200.660676727295,3012.0604072078304,2329.0962259192593,3469.4529528475346,771.9087321131343,4688.462150579575,2026.2194440308474,1473.4731435475971,0.1312915188634275,0.1236879246816635,0.2341811227574555,0.15899787261747045,0.23852582600382163,0.19461338857618493,0.10581436430068289,0.09888128312005398,0.09230769230769231,25,0.5784641962373405,-3.216245299353273e-16,-1.0,6.432490598706546e-16,1.0,3.6739403974420594e-16,-1.0,0,0,0,0,1,1,0,0,0.6636434620478755,-1.0453126899418563,0.9370338557421373,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-06-29,0.0,0.0,0.0,313.98,228.94,799.52,927.88,733.19,857.63,1335.72,585.28,5782.14,972,178,25.0,45.0,19.0,0.0433,0.2525428571428571,5,0,0,0,7,0,5,0,19.857142857142858,22.9,69.5,2020,27,927.88,680.69,486.08,748.08,228.94,565.04,963.19,1263.52,2528.2103383636477,2487.926244324698,1999.9925468475185,3003.2244193508973,499.108056239597,4081.386612934681,2280.232638620051,2147.6038861285583,0.08617345721800286,0.08783905003467629,0.183993100701939,0.12408261390500813,0.11579515126238218,0.15477333510943966,0.13033323366547675,0.18904060752859658,0.09615384615384616,26,0.5855125508631351,-0.12053668025532283,-0.992708874098054,0.23931566428755732,0.9709418174260521,-0.3546048870425354,-0.9350162426854149,1,0,0,0,1,0,1,0,0.4092961973932702,-1.6204262426486726,1.3330167691473425,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-07-06,0.0,0.0,0.0,824.77,610.8,2336.88,2623.47,1532.94,1453.07,3509.08,2338.52,15229.53,767,210,27.0,50.0,9.0,0.0467857142857142,0.2415428571428571,7,0,0,0,0,0,7,0,21.928571428571427,28.085714285714285,74.2,2020,28,2623.47,1335.72,313.98,585.28,610.8,1155.96,857.63,804.45,3887.5751691818236,2828.4757465948187,1613.975155450887,2537.3758725780835,785.4878196838589,4216.999959701011,2339.7812151030334,2093.012331677135,0.18231656902629392,0.11068792794923472,0.12803885364412526,0.09183468425941749,0.2449182748006922,0.16351979749008708,0.13628957637636882,0.18127204271877698,0.1,27,0.5922948654599478,-0.23931566428755743,-0.9709418174260521,0.46472317204376795,0.8854560256532102,-0.6631226582407951,-0.7485107481711012,1,0,0,0,0,0,1,0,0.7272302782115269,-1.2323849422163782,1.5407972771382714,1,0,0,0,0,0,0,0,0,0.0,train
