ciudad,semana_inicio,ventas_eur,unidades,margen_eur,inv_display,inv_email_crm,inv_exterior,inv_paid_search,inv_prensa,inv_radio_local,inv_social_paid,inv_video_online,inv_total,sesiones_web,visitas_tienda,pedidos_online,pedidos_tienda,pedidos_click_collect,tasa_conversion_web_media,tasa_conversion_tienda_media,dias_rebajas,dias_black_friday,dias_navidad,dias_semana_santa,dias_payday,dias_festivo,dias_vacaciones_escolares,dias_incidencia_ecommerce,temperatura_media,lluvia_media,turismo_indice_medio,anio,semana_iso
A Coruna,2020-06-15,0.0,0.0,0.0,765.78,249.07,565.04,1307.69,1263.52,378.69,1240.13,1470.28,7240.2,1010,100,25.0,22.0,6.0,0.031842857142857145,0.22127142857142856,0,0,0,0,0,2,0,7,22.0,43.34285714285714,68.97142857142858,2020,25
A Coruna,2020-06-22,0.0,0.0,0.0,486.08,631.88,1155.96,1880.18,804.45,963.19,680.69,748.08,7350.51,826,125,19.0,28.0,6.0,0.030442857142857143,0.22197142857142857,0,0,0,0,4,4,0,0,21.514285714285712,30.585714285714285,60.542857142857144,2020,26
A Coruna,2020-06-29,0.0,0.0,0.0,313.98,228.94,799.52,927.88,733.19,857.63,1335.72,585.28,5782.14,972,178,25.0,45.0,19.0,0.0433,0.2525428571428571,5,0,0,0,7,0,5,0,19.857142857142858,22.900000000000002,69.5,2020,27
A Coruna,2020-07-06,0.0,0.0,0.0,824.77,610.8,2336.88,2623.47,1532.94,1453.07,3509.08,2338.52,15229.53,767,210,27.0,50.0,9.0,0.046785714285714285,0.24154285714285711,7,0,0,0,0,0,7,0,21.928571428571427,28.085714285714285,74.2,2020,28
A Coruna,2020-07-13,0.0,0.0,0.0,648.92,930.06,2189.21,4032.43,978.25,656.66,2274.08,1929.84,13639.449999999999,684,221,25.0,52.0,10.0,0.05164285714285714,0.23961428571428572,7,0,0,0,0,0,7,0,19.67142857142857,36.81428571428571,68.78571428571429,2020,29
A Coruna,2020-07-20,0.0,0.0,0.0,514.98,447.97,2042.66,1943.42,659.27,1377.09,1502.41,1189.2,9677.000000000002,712,215,24.0,54.0,11.0,0.04995714285714286,0.24865714285714285,7,0,0,0,2,0,7,0,18.857142857142858,31.04285714285714,68.92857142857143,2020,30
A Coruna,2020-07-27,0.0,0.0,0.0,910.85,150.82,1929.02,1452.84,981.27,750.79,1890.4,1049.15,9115.14,777,142,26.0,35.0,14.0,0.05147142857142857,0.24967142857142857,7,0,0,0,6,0,7,0,19.2,30.357142857142858,60.8,2020,31
A Coruna,2020-08-03,0.0,0.0,0.0,447.48,1073.09,966.52,1625.83,882.22,869.42,1797.25,1037.22,8699.03,594,88,22.0,22.0,7.0,0.049128571428571424,0.2627,7,0,0,0,3,0,7,0,17.3,14.085714285714287,72.18571428571428,2020,32
A Coruna,2020-08-10,0.0,0.0,0.0,892.79,799.57,1235.16,2532.45,1883.56,360.71,1622.93,1045.72,10372.89,575,105,19.0,25.0,6.0,0.04462857142857143,0.24065714285714288,6,0,0,0,0,0,7,0,17.17142857142857,29.271428571428572,63.714285714285715,2020,33
A Coruna,2020-08-17,0.0,0.0,0.0,476.77,264.41,1277.22,1548.69,791.59,1415.93,2140.42,1508.8,9423.83,760,108,16.0,24.0,6.0,0.028142857142857143,0.2265857142857143,0,0,0,0,0,0,7,0,17.1,32.98571428571429,63.51428571428571,2020,34
A Coruna,2020-08-24,0.0,0.0,0.0,668.0,144.3,1124.81,1472.87,659.22,313.37,1351.23,875.21,6609.009999999999,950,76,18.0,18.0,12.0,0.0318,0.2370857142857143,0,0,0,0,6,0,7,0,15.485714285714286,26.099999999999998,59.199999999999996,2020,35
A Coruna,2020-08-31,0.0,0.0,0.0,536.04,225.96,542.95,1546.17,760.97,782.3,758.0,1158.13,6310.52,1008,164,25.0,36.0,7.0,0.03142857142857143,0.22148571428571429,0,0,0,0,5,0,1,0,18.12857142857143,34.857142857142854,37.05714285714286,2020,36
A Coruna,2020-09-07,0.0,0.0,0.0,478.86,247.67,1772.9,2600.74,2538.69,1085.63,1569.25,1182.79,11476.530000000002,1005,117,16.0,26.0,12.0,0.02797142857142857,0.2228142857142857,0,0,0,0,0,0,0,0,14.685714285714285,35.6,27.5,2020,37
A Coruna,2020-09-14,0.0,0.0,0.0,443.01,405.38,530.75,731.96,532.28,578.5,1668.48,962.93,5853.290000000001,673,77,15.0,16.0,6.0,0.031357142857142854,0.21311428571428573,0,0,0,0,0,0,0,0,15.771428571428572,35.91428571428572,25.599999999999998,2020,38
A Coruna,2020-09-21,0.0,0.0,0.0,1248.0,443.14,953.01,1545.25,431.44,934.82,1721.89,1258.86,8536.41,755,129,17.0,28.0,5.0,0.0299,0.21947142857142857,0,0,0,0,3,0,0,0,13.357142857142858,33.34285714285714,23.400000000000002,2020,39
A Coruna,2020-09-28,0.0,0.0,0.0,583.57,486.52,1228.49,1323.32,1171.76,1123.68,1596.47,1555.29,9069.1,903,73,21.0,15.0,10.0,0.03441428571428572,0.20247142857142858,0,0,0,0,7,0,0,0,14.314285714285715,46.94285714285714,16.571428571428573,2020,40
A Coruna,2020-10-05,0.0,0.0,0.0,397.19,722.48,1465.82,3339.07,601.15,444.53,1827.34,1047.46,9845.039999999997,864,127,21.0,26.0,6.0,0.0316,0.20762857142857144,0,0,0,0,1,0,0,0,12.914285714285715,45.81428571428571,24.342857142857145,2020,41
A Coruna,2020-10-12,0.0,0.0,0.0,1149.45,559.77,1279.41,2907.71,394.77,545.85,1615.28,2124.21,10576.45,1122,152,22.0,31.0,10.0,0.0294,0.208,0,0,0,0,0,0,0,0,10.742857142857144,44.814285714285724,17.757142857142856,2020,42
A Coruna,2020-10-19,0.0,0.0,0.0,670.6,462.6,792.74,2267.19,1065.56,1105.48,1506.16,1718.17,9588.5,1051,111,26.0,22.0,8.0,0.032485714285714284,0.20367142857142856,0,0,0,0,1,0,0,0,10.785714285714286,54.82857142857143,16.5,2020,43
A Coruna,2020-10-26,0.0,0.0,0.0,543.65,679.25,935.2,1199.79,614.55,1168.6,2057.25,1590.32,8788.61,831,158,22.0,33.0,6.0,0.03394285714285714,0.21438571428571426,0,0,0,0,6,0,0,0,12.814285714285715,48.628571428571426,21.52857142857143,2020,44
A Coruna,2020-11-02,0.0,0.0,0.0,627.18,602.31,786.05,1467.79,1289.36,741.89,1962.55,1282.82,8759.95,1106,184,29.0,39.0,13.0,0.03768571428571428,0.20914285714285713,0,0,0,0,4,0,0,0,10.299999999999999,64.22857142857143,25.157142857142855,2020,45
A Coruna,2020-11-09,0.0,0.0,0.0,732.17,275.93,2335.38,3003.75,766.97,1468.03,2359.57,2166.87,13108.669999999998,854,164,21.0,34.0,9.0,0.034885714285714284,0.2063714285714286,0,0,0,0,0,0,0,0,11.37142857142857,59.614285714285714,22.82857142857143,2020,46
A Coruna,2020-11-16,0.0,0.0,0.0,951.0,1347.47,4103.87,3445.43,1483.48,1004.87,2354.23,2365.44,17055.79,1101,180,31.0,38.0,9.0,0.044385714285714285,0.20805714285714286,0,3,0,0,0,0,0,3,8.214285714285714,65.57142857142857,25.842857142857145,2020,47
A Coruna,2020-11-23,0.0,0.0,0.0,883.78,225.97,1525.38,2431.06,1035.35,2377.52,2867.71,1008.09,12354.86,495,217,21.0,48.0,11.0,0.06555714285714286,0.2216142857142857,0,7,0,0,5,0,0,7,10.1,72.84285714285714,15.971428571428572,2020,48
A Coruna,2020-11-30,0.0,0.0,0.0,717.21,446.4,1519.13,1594.86,792.72,1405.84,2802.97,2164.99,11444.12,1084,204,46.0,44.0,11.0,0.05347142857142857,0.218,0,1,6,0,6,0,0,1,10.314285714285715,69.72857142857143,18.014285714285716,2020,49
A Coruna,2020-12-07,0.0,0.0,0.0,631.07,680.27,1460.73,1992.51,621.62,1938.7,1519.23,1859.94,10704.07,1072,188,31.0,36.0,19.0,0.0472,0.19624285714285714,0,0,7,0,0,0,0,0,9.428571428571429,78.47142857142856,18.37142857142857,2020,50
A Coruna,2020-12-14,0.0,0.0,0.0,738.49,678.49,1960.37,2888.04,1114.18,1845.24,1989.57,1656.88,12871.259999999998,731,218,20.0,44.0,15.0,0.04745714285714286,0.20531428571428573,0,0,7,0,0,0,1,0,9.042857142857143,75.28571428571429,22.342857142857145,2020,51
A Coruna,2020-12-21,0.0,0.0,0.0,783.63,370.18,1788.8,1810.05,1539.94,1564.79,2625.64,2298.34,12781.37,1055,217,33.0,40.0,13.0,0.04475714285714286,0.19001428571428572,0,0,4,0,3,0,7,0,10.457142857142857,83.8,18.414285714285715,2020,52
A Coruna,2020-12-28,0.0,0.0,0.0,491.5,625.95,1434.24,2413.77,1748.47,1854.3,2293.77,2351.54,13213.54,1492,175,33.0,34.0,23.0,0.03825714285714286,0.19547142857142857,0,0,0,0,6,0,4,0,9.542857142857143,74.38571428571429,20.657142857142855,2020,53
A Coruna,2021-01-04,0.0,0.0,0.0,3653.41,860.88,2296.04,2585.61,1234.56,1824.29,1941.26,2088.89,16484.940000000002,668,200,23.0,41.0,11.0,0.04914285714285714,0.2072857142857143,4,0,0,0,2,0,0,0,7.6571428571428575,84.01428571428572,22.385714285714283,2021,1
A Coruna,2021-01-11,0.0,0.0,0.0,2301.64,651.87,2320.36,4093.73,921.81,2797.45,1624.69,2206.45,16918.0,695,162,27.0,32.0,14.0,0.05932857142857143,0.19585714285714287,7,0,0,0,0,0,0,0,9.5,82.85714285714286,17.628571428571426,2021,2
A Coruna,2021-01-18,0.0,0.0,0.0,2206.59,669.85,3114.42,4382.6,1590.07,1954.8,2511.02,2514.67,18944.019999999997,691,207,27.0,43.0,11.0,0.05542857142857143,0.2092,7,0,0,0,0,0,0,0,10.528571428571428,75.10000000000001,24.928571428571427,2021,3
A Coruna,2021-01-25,0.0,0.0,0.0,2074.86,438.72,1519.02,3160.64,824.1,2059.85,3446.27,2601.75,16125.210000000001,882,219,40.0,46.0,16.0,0.06298571428571428,0.21215714285714288,7,0,0,0,6,0,0,0,10.828571428571427,83.87142857142858,27.842857142857145,2021,4
A Coruna,2021-02-01,0.0,0.0,0.0,622.47,347.01,372.2,1882.3,834.5,725.9,1888.78,1479.81,8152.969999999999,496,150,19.0,32.0,9.0,0.05828571428571429,0.21267142857142857,7,0,0,0,5,0,0,0,12.042857142857143,85.60000000000001,13.857142857142858,2021,5
A Coruna,2021-02-08,0.0,0.0,0.0,983.41,653.82,1438.04,2226.68,1492.41,749.48,859.32,1233.34,9636.5,573,161,12.0,32.0,12.0,0.04461428571428572,0.20118571428571427,3,0,0,0,0,0,0,0,11.471428571428572,78.89999999999999,24.928571428571427,2021,6
A Coruna,2021-02-15,0.0,0.0,0.0,1348.05,767.07,2183.46,2770.99,633.18,1331.05,2359.5,1239.04,12632.34,927,167,21.0,32.0,10.0,0.034542857142857146,0.19385714285714287,0,0,0,0,0,0,0,0,12.342857142857143,73.82857142857142,11.942857142857141,2021,7
A Coruna,2021-02-22,0.0,0.0,0.0,1250.67,489.75,806.9,1759.89,356.13,1328.73,1724.65,1769.66,9486.38,755,200,20.0,40.0,9.0,0.038214285714285715,0.2000142857142857,0,0,0,0,4,0,0,0,12.87142857142857,73.71428571428571,22.099999999999998,2021,8
A Coruna,2021-03-01,0.0,0.0,0.0,1339.34,330.3,2212.74,3428.7,1314.06,1086.22,2156.42,1941.78,13809.56,933,146,25.0,29.0,9.0,0.03705714285714286,0.19495714285714286,0,0,0,0,5,0,0,0,12.285714285714286,77.5,27.67142857142857,2021,9
A Coruna,2021-03-08,0.0,0.0,0.0,1068.25,800.58,1291.66,3262.64,1578.55,1057.99,1776.02,893.31,11729.0,845,142,20.0,27.0,11.0,0.036899999999999995,0.18925714285714285,0,0,0,0,0,0,0,0,13.914285714285715,78.84285714285714,22.32857142857143,2021,10
A Coruna,2021-03-15,0.0,0.0,0.0,756.35,961.69,1307.26,2376.6,1397.24,1139.14,1194.31,1976.29,11108.880000000001,867,172,20.0,33.0,9.0,0.033557142857142855,0.19501428571428572,0,0,0,0,0,0,0,0,14.842857142857142,68.7,18.814285714285713,2021,11
A Coruna,2021-03-22,0.0,0.0,0.0,1081.96,636.31,1379.9,3147.47,443.98,1553.41,2698.17,2645.07,13586.269999999999,430,160,9.0,33.0,6.0,0.03728571428571429,0.2048142857142857,0,0,0,1,4,0,1,0,16.942857142857143,68.04285714285714,23.12857142857143,2021,12
A Coruna,2021-03-29,0.0,0.0,0.0,691.89,691.2,1317.01,2999.82,1703.23,1421.53,3434.94,1283.17,13542.79,1133,161,30.0,32.0,14.0,0.038642857142857145,0.19577142857142857,0,0,0,7,6,0,7,0,16.985714285714288,76.68571428571428,23.542857142857144,2021,13
A Coruna,2021-04-05,0.0,0.0,0.0,548.02,976.79,1335.37,1980.58,1636.44,2093.63,1249.47,989.88,10810.18,1144,166,26.0,35.0,12.0,0.03394285714285714,0.20888571428571429,0,0,0,0,1,0,0,0,16.185714285714287,62.800000000000004,25.22857142857143,2021,14
A Coruna,2021-04-12,0.0,0.0,0.0,1117.01,1319.29,1380.89,2660.74,1167.62,2251.42,3280.99,2160.66,15338.62,967,176,21.0,35.0,10.0,0.03327142857142857,0.20168571428571427,0,0,0,0,0,0,0,0,19.114285714285717,57.65714285714286,21.157142857142862,2021,15
A Coruna,2021-04-19,0.0,0.0,0.0,1503.24,625.57,1776.72,2085.52,1707.77,1312.39,2159.88,1713.26,12884.35,809,136,15.0,28.0,13.0,0.03441428571428572,0.20888571428571429,0,0,0,0,1,0,0,0,19.02857142857143,58.542857142857144,34.2,2021,16
A Coruna,2021-04-26,0.0,0.0,0.0,1229.61,824.87,1926.95,2821.08,1405.49,2123.15,2050.87,2518.96,14900.98,736,143,19.0,31.0,7.0,0.03527142857142857,0.21439999999999998,0,0,0,0,7,0,0,0,18.571428571428573,49.0,24.114285714285717,2021,17
A Coruna,2021-05-03,0.0,0.0,0.0,772.61,970.08,2654.53,1923.29,1326.81,1735.37,1647.56,1986.79,13017.039999999997,1068,119,26.0,23.0,9.0,0.034499999999999996,0.19614285714285715,0,0,0,0,3,0,0,0,18.842857142857145,52.142857142857146,16.0,2021,18
A Coruna,2021-05-10,0.0,0.0,0.0,1466.63,566.13,1807.19,2539.92,912.79,1563.02,2204.92,1197.14,12257.74,880,118,16.0,25.0,11.0,0.03192857142857143,0.2109285714285714,0,0,0,0,0,0,0,0,19.099999999999998,44.81428571428571,22.52857142857143,2021,19
A Coruna,2021-05-17,0.0,0.0,0.0,700.7,415.35,1177.64,1503.14,1294.76,1589.56,2503.77,1446.3,10631.220000000001,581,140,12.0,29.0,6.0,0.03151428571428571,0.20935714285714285,0,0,0,0,0,0,0,0,21.599999999999998,44.971428571428575,23.328571428571426,2021,20
A Coruna,2021-05-24,0.0,0.0,0.0,433.36,532.53,1955.65,2859.6,1275.9,2483.85,2841.06,2008.75,14390.699999999999,749,98,19.0,21.0,7.0,0.03508571428571429,0.21732857142857145,0,0,0,0,6,0,0,0,19.385714285714283,42.228571428571435,26.085714285714285,2021,21
A Coruna,2021-05-31,0.0,0.0,0.0,1404.14,694.36,2005.44,2254.4,1001.85,1713.43,2373.69,2832.2,14279.510000000002,1051,127,21.0,30.0,10.0,0.0293,0.23505714285714285,0,0,0,0,5,0,0,0,21.185714285714287,30.942857142857143,55.957142857142856,2021,22
A Coruna,2021-06-07,0.0,0.0,0.0,1306.99,477.96,2068.39,2257.41,661.19,1269.54,2112.65,828.08,10982.210000000001,917,124,20.0,27.0,7.0,0.02922857142857143,0.21935714285714283,0,0,0,0,0,0,0,0,20.87142857142857,38.74285714285714,67.55714285714285,2021,23
A Coruna,2021-06-14,0.0,0.0,0.0,671.77,1016.61,1204.77,1736.67,863.42,794.79,2339.03,1358.59,9985.65,840,138,22.0,32.0,5.0,0.03181428571428572,0.2279,0,0,0,0,0,1,0,0,21.228571428571428,40.714285714285715,72.2,2021,24
A Coruna,2021-06-21,0.0,0.0,0.0,555.24,319.65,1246.5,2319.62,929.86,871.92,1563.67,864.15,8670.61,967,167,21.0,37.0,11.0,0.032042857142857144,0.22315714285714286,0,0,0,0,3,5,0,0,22.942857142857143,32.72857142857143,61.94285714285714,2021,25
A Coruna,2021-06-28,0.0,0.0,0.0,1456.97,546.2,2452.79,3198.43,1371.34,1731.33,2383.02,4874.81,18014.89,741,143,24.0,36.0,7.0,0.04341428571428572,0.2511285714285714,4,0,0,0,7,0,4,0,19.557142857142857,23.3,66.92857142857143,2021,26
A Coruna,2021-07-05,0.0,0.0,0.0,899.29,1006.48,2810.89,7545.94,3538.84,2030.69,2854.95,3235.43,23922.51,986,170,28.0,42.0,19.0,0.04722857142857143,0.24748571428571428,7,0,0,0,1,0,7,0,19.557142857142857,27.314285714285713,74.44285714285715,2021,27
A Coruna,2021-07-12,0.0,0.0,0.0,2855.29,1515.71,1665.12,4186.74,3417.89,2596.03,4123.83,4028.48,24389.09,965,169,28.0,42.0,19.0,0.048728571428571434,0.2488142857142857,7,0,0,0,0,0,7,0,19.585714285714285,31.2,62.228571428571435,2021,28
A Coruna,2021-07-19,0.0,0.0,0.0,1081.34,533.62,2822.2,4783.03,1160.11,924.1,3790.15,2862.08,17956.629999999997,821,159,25.0,41.0,14.0,0.0469,0.2546857142857143,7,0,0,0,1,0,7,0,18.885714285714283,26.185714285714287,62.528571428571425,2021,29
A Coruna,2021-07-26,0.0,0.0,0.0,1634.78,528.96,1837.42,3412.48,1718.63,2368.72,1667.3,1731.07,14899.359999999999,754,146,27.0,38.0,11.0,0.0513,0.25937142857142853,7,0,0,0,6,0,7,0,19.585714285714285,32.528571428571425,70.22857142857143,2021,30
A Coruna,2021-08-02,0.0,0.0,0.0,1004.85,511.75,725.36,2394.53,1929.96,656.29,1476.0,1275.26,9974.0,527,151,15.0,37.0,10.0,0.05028571428571428,0.25,7,0,0,0,4,0,7,0,18.714285714285715,23.142857142857142,70.17142857142856,2021,31
A Coruna,2021-08-09,0.0,0.0,0.0,1316.96,207.42,1343.02,3483.7,1115.76,1915.43,2752.88,2317.56,14452.730000000001,646,117,26.0,29.0,5.0,0.04817142857142857,0.2517285714285714,7,0,0,0,0,0,7,0,18.357142857142858,27.557142857142857,64.02857142857142,2021,32
A Coruna,2021-08-16,0.0,0.0,0.0,1208.71,843.59,2066.33,2204.97,1624.35,501.35,1934.92,877.19,11261.410000000002,705,181,12.0,40.0,7.0,0.027814285714285715,0.2218,0,0,0,0,0,0,7,0,18.599999999999998,31.12857142857143,62.5,2021,33
A Coruna,2021-08-23,0.0,0.0,0.0,1121.58,309.57,2308.11,1809.72,1536.0,1375.84,1608.0,1461.5,11530.32,906,91,17.0,22.0,10.0,0.030214285714285714,0.2423714285714286,0,0,0,0,5,0,7,0,17.17142857142857,25.042857142857144,72.01428571428572,2021,34
A Coruna,2021-08-30,0.0,0.0,0.0,978.8,211.72,1371.65,2762.91,575.01,1074.84,1573.27,1578.4,10126.6,1088,116,22.0,26.0,11.0,0.030285714285714284,0.22425714285714285,0,0,0,0,6,0,2,0,15.12857142857143,19.271428571428572,33.214285714285715,2021,35
A Coruna,2021-09-06,0.0,0.0,0.0,1185.87,1354.84,1260.55,1987.56,959.65,1795.57,2354.42,895.12,11793.58,939,136,13.0,30.0,11.0,0.029214285714285717,0.21994285714285716,0,0,0,0,0,0,0,0,13.985714285714286,33.028571428571425,26.12857142857143,2021,36
A Coruna,2021-09-13,0.0,0.0,0.0,754.76,766.36,2282.94,2777.78,1252.64,1171.33,2123.22,2538.04,13667.07,879,147,19.0,29.0,7.0,0.029371428571428573,0.2077,0,0,0,0,0,0,0,0,15.299999999999999,39.371428571428574,21.985714285714288,2021,37
A Coruna,2021-09-20,0.0,0.0,0.0,531.09,379.98,1379.52,3977.54,1680.0,1511.73,1870.6,1288.74,12619.2,625,123,11.0,26.0,7.0,0.029142857142857144,0.21395714285714287,0,0,0,0,2,0,0,0,11.514285714285714,44.614285714285714,21.771428571428572,2021,38
A Coruna,2021-09-27,0.0,0.0,0.0,1602.87,284.49,1962.01,2441.45,1238.26,788.32,2821.99,2342.22,13481.609999999999,727,115,14.0,25.0,11.0,0.03444285714285714,0.21715714285714285,0,0,0,0,7,0,0,0,15.071428571428571,43.84285714285714,26.785714285714285,2021,39
A Coruna,2021-10-04,0.0,0.0,0.0,1107.72,1833.71,1901.06,2409.01,2411.33,2110.59,2402.91,3034.8,17211.13,864,153,20.0,32.0,6.0,0.030542857142857142,0.2106857142857143,0,0,0,0,2,0,0,0,12.142857142857142,45.385714285714286,28.02857142857143,2021,40
